Mod:Item:MetaData, Localized Name
appliedenergistics2:facade:0, Cable Facade - Extreme Engine Intake Casing
appliedenergistics2:facade:0, Cable Facade - Grate Machine Casing
appliedenergistics2:facade:0, Cable Facade - Assembly Control Casing
appliedenergistics2:facade:0, Cable Facade - Assembly Line Casing
appliedenergistics2:facade:0, Cable Facade - Cupronickel Coil Block
appliedenergistics2:facade:0, Cable Facade - Kanthal Coil Block
appliedenergistics2:facade:0, Cable Facade - Nichrome Coil Block
appliedenergistics2:facade:0, Cable Facade - Tungstensteel Coil Block
appliedenergistics2:facade:0, Cable Facade - HSS-G Coil Block
appliedenergistics2:facade:0, Cable Facade - Naquadah Coil Block
appliedenergistics2:facade:0, Cable Facade - Trinium Coil Block
appliedenergistics2:facade:0, Cable Facade - Tritanium Coil Block
appliedenergistics2:facade:0, Cable Facade - Superconducting Coil Block
appliedenergistics2:facade:0, Cable Facade - Fusion Coil Block
appliedenergistics2:facade:0, Cable Facade - Fusion Machine Casing
appliedenergistics2:facade:0, Cable Facade - Fusion Machine Casing MK II
appliedenergistics2:facade:0, Cable Facade - Fusion Machine Casing MK III
appliedenergistics2:facade:0, Cable Facade - Yellow Stripes Block
appliedenergistics2:facade:0, Cable Facade - Yellow Stripes Block
appliedenergistics2:facade:0, Cable Facade - Radioactive Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Bio Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Explosion Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Fire Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Acid Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Magic Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Frost Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Noise Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Generic Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - High Voltage Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Magnetic Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Antimatter Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - High Temperature Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Void Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Mob Spawner Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Spatial Storage Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Laser Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Mob Infestation Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Boss Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Gregification Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Non-Standard Causality Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Automated Defenses Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - High Pressure Hazard Sign Block
appliedenergistics2:facade:0, Cable Facade - Asphalt
appliedenergistics2:facade:0, Cable Facade - Black Granite
appliedenergistics2:facade:0, Cable Facade - Red Granite
appliedenergistics2:facade:0, Cable Facade - Marble
appliedenergistics2:facade:0, Cable Facade - Basalt
appliedenergistics2:facade:0, Cable Facade - Light Concrete
appliedenergistics2:facade:0, Cable Facade - Dark Concrete
appliedenergistics2:facade:0, Cable Facade - Black Granite Cobblestone
appliedenergistics2:facade:0, Cable Facade - Red Granite Cobblestone
appliedenergistics2:facade:0, Cable Facade - Marble Cobblestone
appliedenergistics2:facade:0, Cable Facade - Basalt Cobblestone
appliedenergistics2:facade:0, Cable Facade - Light Concrete Cobblestone
appliedenergistics2:facade:0, Cable Facade - Dark Concrete Cobblestone
appliedenergistics2:facade:0, Cable Facade - Mossy Black Granite Cobblestone
appliedenergistics2:facade:0, Cable Facade - Mossy Red Granite Cobblestone
appliedenergistics2:facade:0, Cable Facade - Mossy Marble Cobblestone
appliedenergistics2:facade:0, Cable Facade - Mossy Basalt Cobblestone
appliedenergistics2:facade:0, Cable Facade - Mossy Light Concrete Cobblestone
appliedenergistics2:facade:0, Cable Facade - Mossy Dark Concrete Cobblestone
appliedenergistics2:facade:0, Cable Facade - Polished Black Granite
appliedenergistics2:facade:0, Cable Facade - Polished Red Granite
appliedenergistics2:facade:0, Cable Facade - Polished Marble
appliedenergistics2:facade:0, Cable Facade - Polished Basalt
appliedenergistics2:facade:0, Cable Facade - Polished Light Concrete
appliedenergistics2:facade:0, Cable Facade - Polished Dark Concrete
appliedenergistics2:facade:0, Cable Facade - Black Granite Bricks
appliedenergistics2:facade:0, Cable Facade - Red Granite Bricks
appliedenergistics2:facade:0, Cable Facade - Marble Bricks
appliedenergistics2:facade:0, Cable Facade - Basalt Bricks
appliedenergistics2:facade:0, Cable Facade - Light Concrete Bricks
appliedenergistics2:facade:0, Cable Facade - Dark Concrete Bricks
appliedenergistics2:facade:0, Cable Facade - Cracked Black Granite Bricks
appliedenergistics2:facade:0, Cable Facade - Cracked Red Granite Bricks
appliedenergistics2:facade:0, Cable Facade - Cracked Marble Bricks
appliedenergistics2:facade:0, Cable Facade - Cracked Basalt Bricks
appliedenergistics2:facade:0, Cable Facade - Cracked Light Concrete Bricks
appliedenergistics2:facade:0, Cable Facade - Cracked Dark Concrete Bricks
appliedenergistics2:facade:0, Cable Facade - Mossy Black Granite Bricks
appliedenergistics2:facade:0, Cable Facade - Mossy Red Granite Bricks
appliedenergistics2:facade:0, Cable Facade - Mossy Marble Bricks
appliedenergistics2:facade:0, Cable Facade - Mossy Basalt Bricks
appliedenergistics2:facade:0, Cable Facade - Mossy Light Concrete Bricks
appliedenergistics2:facade:0, Cable Facade - Mossy Dark Concrete Bricks
appliedenergistics2:facade:0, Cable Facade - Chiseled Black Granite
appliedenergistics2:facade:0, Cable Facade - Chiseled Red Granite
appliedenergistics2:facade:0, Cable Facade - Chiseled Marble
appliedenergistics2:facade:0, Cable Facade - Chiseled Basalt
appliedenergistics2:facade:0, Cable Facade - Chiseled Light Concrete
appliedenergistics2:facade:0, Cable Facade - Chiseled Dark Concrete
appliedenergistics2:facade:0, Cable Facade - Black Granite Tiles
appliedenergistics2:facade:0, Cable Facade - Red Granite Tiles
appliedenergistics2:facade:0, Cable Facade - Marble Tiles
appliedenergistics2:facade:0, Cable Facade - Basalt Tiles
appliedenergistics2:facade:0, Cable Facade - Light Concrete Tiles
appliedenergistics2:facade:0, Cable Facade - Dark Concrete Tiles
appliedenergistics2:facade:0, Cable Facade - Small Black Granite Tiles
appliedenergistics2:facade:0, Cable Facade - Small Red Granite Tiles
appliedenergistics2:facade:0, Cable Facade - Small Marble Tiles
appliedenergistics2:facade:0, Cable Facade - Small Basalt Tiles
appliedenergistics2:facade:0, Cable Facade - Small Light Concrete Tiles
appliedenergistics2:facade:0, Cable Facade - Small Dark Concrete Tiles
appliedenergistics2:facade:0, Cable Facade - Small Black Granite Bricks
appliedenergistics2:facade:0, Cable Facade - Small Red Granite Bricks
appliedenergistics2:facade:0, Cable Facade - Small Marble Bricks
appliedenergistics2:facade:0, Cable Facade - Small Basalt Bricks
appliedenergistics2:facade:0, Cable Facade - Small Light Concrete Bricks
appliedenergistics2:facade:0, Cable Facade - Small Dark Concrete Bricks
appliedenergistics2:facade:0, Cable Facade - Black Granite Windmill Tiles A
appliedenergistics2:facade:0, Cable Facade - Red Granite Windmill Tiles A
appliedenergistics2:facade:0, Cable Facade - Marble Windmill Tiles A
appliedenergistics2:facade:0, Cable Facade - Basalt Windmill Tiles A
appliedenergistics2:facade:0, Cable Facade - Light Concrete Windmill Tiles A
appliedenergistics2:facade:0, Cable Facade - Dark Concrete Windmill Tiles A
appliedenergistics2:facade:0, Cable Facade - Black Granite Windmill Tiles B
appliedenergistics2:facade:0, Cable Facade - Red Granite Windmill Tiles B
appliedenergistics2:facade:0, Cable Facade - Marble Windmill Tiles B
appliedenergistics2:facade:0, Cable Facade - Basalt Windmill Tiles B
appliedenergistics2:facade:0, Cable Facade - Light Concrete Windmill Tiles B
appliedenergistics2:facade:0, Cable Facade - Dark Concrete Windmill Tiles B
appliedenergistics2:facade:0, Cable Facade - Square Black Granite Bricks
appliedenergistics2:facade:0, Cable Facade - Square Red Granite Bricks
appliedenergistics2:facade:0, Cable Facade - Square Marble Bricks
appliedenergistics2:facade:0, Cable Facade - Square Basalt Bricks
appliedenergistics2:facade:0, Cable Facade - Square Light Concrete Bricks
appliedenergistics2:facade:0, Cable Facade - Square Dark Concrete Bricks
appliedenergistics2:facade:0, Cable Facade - Rubber Wood
appliedenergistics2:facade:0, Cable Facade - Rubber Tree Leaves
appliedenergistics2:facade:0, Cable Facade - Rubber Wood Planks
appliedenergistics2:facade:0, Cable Facade - Treated Wood Planks
appliedenergistics2:facade:0, Cable Facade - Brittle Charcoal
appliedenergistics2:facade:0, Cable Facade - Block of Silicone Rubber
appliedenergistics2:facade:0, Cable Facade - Block of Styrene-Butadiene Rubber
appliedenergistics2:facade:0, Cable Facade - Block of Fiber-Reinforced Epoxy Resin
appliedenergistics2:facade:0, Cable Facade - Block of Polyvinyl Chloride (PVC)
appliedenergistics2:facade:0, Cable Facade - Block of Battery Alloy
appliedenergistics2:facade:0, Cable Facade - Block of Blue Topaz
appliedenergistics2:facade:0, Cable Facade - Block of Brass
appliedenergistics2:facade:0, Cable Facade - Block of Bronze
appliedenergistics2:facade:0, Cable Facade - Block of Charcoal
appliedenergistics2:facade:0, Cable Facade - Block of Cinnabar
appliedenergistics2:facade:0, Cable Facade - Block of Indium Gallium Phosphide
appliedenergistics2:facade:0, Cable Facade - Block of Nickel Zinc Ferrite
appliedenergistics2:facade:0, Cable Facade - Block of Realgar
appliedenergistics2:facade:0, Cable Facade - Block of Rubber
appliedenergistics2:facade:0, Cable Facade - Block of Magnetic Steel
appliedenergistics2:facade:0, Cable Facade - Block of Vanadiumsteel
appliedenergistics2:facade:0, Cable Facade - Block of Potin
appliedenergistics2:facade:0, Cable Facade - Block of Borosilicate Glass
appliedenergistics2:facade:0, Cable Facade - Block of Naquadah Alloy
appliedenergistics2:facade:0, Cable Facade - Block of Polyphenylene Sulfide
appliedenergistics2:facade:0, Cable Facade - Block of Polybenzimidazole (PBI)
appliedenergistics2:facade:0, Cable Facade - Block of Polyethylene (PE)
appliedenergistics2:facade:0, Cable Facade - Block of Epoxy Resin
appliedenergistics2:facade:0, Cable Facade - Block of Polycaprolactam
appliedenergistics2:facade:0, Cable Facade - Block of Polytetrafluoroethylene (PTFE)
appliedenergistics2:facade:0, Cable Facade - Block of Sugar
appliedenergistics2:facade:0, Cable Facade - Block of Malachite
appliedenergistics2:facade:0, Cable Facade - Block of Magnetic Iron
appliedenergistics2:facade:0, Cable Facade - Block of Tungstencarbide
appliedenergistics2:facade:0, Cable Facade - Block of Platinum
appliedenergistics2:facade:0, Cable Facade - Block of Plutonium 239
appliedenergistics2:facade:0, Cable Facade - Block of Plutonium 241
appliedenergistics2:facade:0, Cable Facade - Block of Rhodium
appliedenergistics2:facade:0, Cable Facade - Block of Ruthenium
appliedenergistics2:facade:0, Cable Facade - Block of Samarium
appliedenergistics2:facade:0, Cable Facade - Block of Tin
appliedenergistics2:facade:0, Cable Facade - Block of Titanium
appliedenergistics2:facade:0, Cable Facade - Block of Tungsten
appliedenergistics2:facade:0, Cable Facade - Block of Uranium 238
appliedenergistics2:facade:0, Cable Facade - Block of Uranium 235
appliedenergistics2:facade:0, Cable Facade - Block of Vanadium
appliedenergistics2:facade:0, Cable Facade - Block of Yttrium
appliedenergistics2:facade:0, Cable Facade - Block of Zinc
appliedenergistics2:facade:0, Cable Facade - Block of Naquadah
appliedenergistics2:facade:0, Cable Facade - Block of Enriched Naquadah
appliedenergistics2:facade:0, Cable Facade - Block of Naquadria
appliedenergistics2:facade:0, Cable Facade - Block of Neutronium
appliedenergistics2:facade:0, Cable Facade - Block of Soldering Alloy
appliedenergistics2:facade:0, Cable Facade - Block of Spessartine
appliedenergistics2:facade:0, Cable Facade - Block of Stainless Steel
appliedenergistics2:facade:0, Cable Facade - Block of Steel
appliedenergistics2:facade:0, Cable Facade - Block of Tin Alloy
appliedenergistics2:facade:0, Cable Facade - Block of Topaz
appliedenergistics2:facade:0, Cable Facade - Block of Ultimet
appliedenergistics2:facade:0, Cable Facade - Block of Uvarovite
appliedenergistics2:facade:0, Cable Facade - Block of Vanadium-Gallium
appliedenergistics2:facade:0, Cable Facade - Block of Wrought Iron
appliedenergistics2:facade:0, Cable Facade - Block of Flint
appliedenergistics2:facade:0, Cable Facade - Block of Rhodium Plated Palladium
appliedenergistics2:facade:0, Cable Facade - Block of Pyrope
appliedenergistics2:facade:0, Cable Facade - Block of Rock Salt
appliedenergistics2:facade:0, Cable Facade - Block of Ruridit
appliedenergistics2:facade:0, Cable Facade - Block of Ruby
appliedenergistics2:facade:0, Cable Facade - Block of Salt
appliedenergistics2:facade:0, Cable Facade - Block of Sapphire
appliedenergistics2:facade:0, Cable Facade - Block of Sodalite
appliedenergistics2:facade:0, Cable Facade - Block of Coke
appliedenergistics2:facade:0, Cable Facade - Block of Chrome
appliedenergistics2:facade:0, Cable Facade - Block of Cobalt
appliedenergistics2:facade:0, Cable Facade - Block of Copper
appliedenergistics2:facade:0, Cable Facade - Block of Darmstadtium
appliedenergistics2:facade:0, Cable Facade - Block of Kanthal
appliedenergistics2:facade:0, Cable Facade - Block of Lazurite
appliedenergistics2:facade:0, Cable Facade - Block of Magnalium
appliedenergistics2:facade:0, Cable Facade - Block of Nichrome
appliedenergistics2:facade:0, Cable Facade - Block of Niobium Nitride
appliedenergistics2:facade:0, Cable Facade - Block of Niobium-Titanium
appliedenergistics2:facade:0, Cable Facade - Block of Sterling Silver
appliedenergistics2:facade:0, Cable Facade - Block of Rose Gold
appliedenergistics2:facade:0, Cable Facade - Block of Black Bronze
appliedenergistics2:facade:0, Cable Facade - Block of Bismuth Bronze
appliedenergistics2:facade:0, Cable Facade - Block of Enderpearl
appliedenergistics2:facade:0, Cable Facade - Block of Magnetic Neodymium
appliedenergistics2:facade:0, Cable Facade - Block of Magnetic Samarium
appliedenergistics2:facade:0, Cable Facade - Block of Manganese Phosphide
appliedenergistics2:facade:0, Cable Facade - Block of Magnesium Diboride
appliedenergistics2:facade:0, Cable Facade - Block of Mercury Barium Calcium Cuprate
appliedenergistics2:facade:0, Cable Facade - Block of Uranium Triplatinum
appliedenergistics2:facade:0, Cable Facade - Block of Samarium Iron Arsenic Oxide
appliedenergistics2:facade:0, Cable Facade - Block of Indium Tin Barium Titanium Cuprate
appliedenergistics2:facade:0, Cable Facade - Block of Uranium Rhodium Dinaquadide
appliedenergistics2:facade:0, Cable Facade - Block of Enriched Naquadah Trinium Europium Duranide
appliedenergistics2:facade:0, Cable Facade - Block of Nether Star
appliedenergistics2:facade:0, Cable Facade - Block of Molybdenum
appliedenergistics2:facade:0, Cable Facade - Block of Neodymium
appliedenergistics2:facade:0, Cable Facade - Block of Nickel
appliedenergistics2:facade:0, Cable Facade - Block of Niobium
appliedenergistics2:facade:0, Cable Facade - Block of Osmium
appliedenergistics2:facade:0, Cable Facade - Block of Palladium
appliedenergistics2:facade:0, Cable Facade - Block of Red Garnet
appliedenergistics2:facade:0, Cable Facade - Block of Yellow Garnet
appliedenergistics2:facade:0, Cable Facade - Block of Monazite
appliedenergistics2:facade:0, Cable Facade - Block of HSS-G
appliedenergistics2:facade:0, Cable Facade - Block of Red Alloy
appliedenergistics2:facade:0, Cable Facade - Block of HSS-E
appliedenergistics2:facade:0, Cable Facade - Block of HSS-S
appliedenergistics2:facade:0, Cable Facade - Block of Blue Alloy
appliedenergistics2:facade:0, Cable Facade - Block of Europium
appliedenergistics2:facade:0, Cable Facade - Block of Gallium
appliedenergistics2:facade:0, Cable Facade - Block of Olivine
appliedenergistics2:facade:0, Cable Facade - Block of Opal
appliedenergistics2:facade:0, Cable Facade - Block of Amethyst
appliedenergistics2:facade:0, Cable Facade - Block of Apatite
appliedenergistics2:facade:0, Cable Facade - Block of Black Steel
appliedenergistics2:facade:0, Cable Facade - Block of Damascus Steel
appliedenergistics2:facade:0, Cable Facade - Block of Tungstensteel
appliedenergistics2:facade:0, Cable Facade - Block of Cobalt Brass
appliedenergistics2:facade:0, Cable Facade - Block of Tritanium
appliedenergistics2:facade:0, Cable Facade - Block of Duranium
appliedenergistics2:facade:0, Cable Facade - Block of Trinium
appliedenergistics2:facade:0, Cable Facade - Block of Endereye
appliedenergistics2:facade:0, Cable Facade - Block of Red Steel
appliedenergistics2:facade:0, Cable Facade - Block of Blue Steel
appliedenergistics2:facade:0, Cable Facade - Block of Silicon
appliedenergistics2:facade:0, Cable Facade - Block of Silver
appliedenergistics2:facade:0, Cable Facade - Block of Tantalum
appliedenergistics2:facade:0, Cable Facade - Block of Thorium
appliedenergistics2:facade:0, Cable Facade - Block of Cupronickel
appliedenergistics2:facade:0, Cable Facade - Block of Electrum
appliedenergistics2:facade:0, Cable Facade - Block of Green Sapphire
appliedenergistics2:facade:0, Cable Facade - Block of Grossular
appliedenergistics2:facade:0, Cable Facade - Block of Rutile
appliedenergistics2:facade:0, Cable Facade - Block of Invar
appliedenergistics2:facade:0, Cable Facade - Block of Aluminium
appliedenergistics2:facade:0, Cable Facade - Block of Americium
appliedenergistics2:facade:0, Cable Facade - Block of Antimony
appliedenergistics2:facade:0, Cable Facade - Block of Beryllium
appliedenergistics2:facade:0, Cable Facade - Block of Bismuth
appliedenergistics2:facade:0, Cable Facade - Block of Indium
appliedenergistics2:facade:0, Cable Facade - Block of Iridium
appliedenergistics2:facade:0, Cable Facade - Block of Lead
appliedenergistics2:facade:0, Cable Facade - Block of Manganese
appliedenergistics2:facade:0, Cable Facade - Block of Certus Quartz
appliedenergistics2:facade:0, Cable Facade - Block of Yttrium Barium Cuprate
appliedenergistics2:facade:0, Cable Facade - Block of Quartzite
appliedenergistics2:facade:0, Cable Facade - Block of Osmiridium
appliedenergistics2:facade:0, Cable Facade - Block of Gallium Arsenide
appliedenergistics2:facade:0, Cable Facade - Block of Almandine
appliedenergistics2:facade:0, Cable Facade - Block of Andradite
appliedenergistics2:facade:0, Cable Facade - Block of Annealed Copper
appliedenergistics2:facade:0, Cable Facade - Block of Ruthenium Trinium Americium Neutronate
appliedenergistics2:facade:0, Cable Facade - Block of Fluix Crystal
appliedenergistics2:facade:0, Cable Facade - Block of Polyvinyl Butyral
appliedenergistics2:facade:0, Cable Facade - Wood Frame Box
appliedenergistics2:facade:0, Cable Facade - Naquadah Alloy Frame Box
appliedenergistics2:facade:0, Cable Facade - Bronze Frame Box
appliedenergistics2:facade:0, Cable Facade - Black Steel Frame Box
appliedenergistics2:facade:0, Cable Facade - Tungstensteel Frame Box
appliedenergistics2:facade:0, Cable Facade - Treated Wood Frame Box
appliedenergistics2:facade:0, Cable Facade - Polytetrafluoroethylene (PTFE) Frame Box
appliedenergistics2:facade:0, Cable Facade - HSS-G Frame Box
appliedenergistics2:facade:0, Cable Facade - HSS-E Frame Box
appliedenergistics2:facade:0, Cable Facade - HSS-S Frame Box
appliedenergistics2:facade:0, Cable Facade - Titanium Frame Box
appliedenergistics2:facade:0, Cable Facade - Neutronium Frame Box
appliedenergistics2:facade:0, Cable Facade - Aluminium Frame Box
appliedenergistics2:facade:0, Cable Facade - Stainless Steel Frame Box
appliedenergistics2:facade:0, Cable Facade - Steel Frame Box
appliedenergistics2:facade:0, Cable Facade - Blue Steel Frame Box
appliedenergistics2:facade:0, Cable Facade - Europium Frame Box
appliedenergistics2:facade:0, Cable Facade - Tritanium Frame Box
appliedenergistics2:facade:0, Cable Facade - Invar Frame Box
appliedenergistics2:facade:0, Cable Facade - Oak Trim
appliedenergistics2:facade:0, Cable Facade - Spruce Trim
appliedenergistics2:facade:0, Cable Facade - Birch Trim
appliedenergistics2:facade:0, Cable Facade - Jungle Trim
appliedenergistics2:facade:0, Cable Facade - Acacia Trim
appliedenergistics2:facade:0, Cable Facade - Dark Oak Trim
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:encoded_pattern, Encoded Pattern
appliedenergistics2:paint_ball:0, Paint Ball - White
appliedenergistics2:paint_ball:1, Paint Ball - Orange
appliedenergistics2:paint_ball:2, Paint Ball - Magenta
appliedenergistics2:paint_ball:3, Paint Ball - Light Blue
appliedenergistics2:paint_ball:4, Paint Ball - Yellow
appliedenergistics2:paint_ball:5, Paint Ball - Lime
appliedenergistics2:paint_ball:6, Paint Ball - Pink
appliedenergistics2:paint_ball:7, Paint Ball - Gray
appliedenergistics2:paint_ball:8, Paint Ball - Light Gray
appliedenergistics2:paint_ball:9, Paint Ball - Cyan
appliedenergistics2:paint_ball:10, Paint Ball - Purple
appliedenergistics2:paint_ball:11, Paint Ball - Blue
appliedenergistics2:paint_ball:12, Paint Ball - Brown
appliedenergistics2:paint_ball:13, Paint Ball - Green
appliedenergistics2:paint_ball:14, Paint Ball - Red
appliedenergistics2:paint_ball:15, Paint Ball - Black
appliedenergistics2:paint_ball:20, Paint Ball - Lumen White
appliedenergistics2:paint_ball:21, Paint Ball - Lumen Orange
appliedenergistics2:paint_ball:22, Paint Ball - Lumen Magenta
appliedenergistics2:paint_ball:23, Paint Ball - Lumen Light Blue
appliedenergistics2:paint_ball:24, Paint Ball - Lumen Yellow
appliedenergistics2:paint_ball:25, Paint Ball - Lumen Lime
appliedenergistics2:paint_ball:26, Paint Ball - Lumen Pink
appliedenergistics2:paint_ball:27, Paint Ball - Lumen Gray
appliedenergistics2:paint_ball:28, Paint Ball - Lumen Light Gray
appliedenergistics2:paint_ball:29, Paint Ball - Lumen Cyan
appliedenergistics2:paint_ball:30, Paint Ball - Lumen Purple
appliedenergistics2:paint_ball:31, Paint Ball - Lumen Blue
appliedenergistics2:paint_ball:32, Paint Ball - Lumen Brown
appliedenergistics2:paint_ball:33, Paint Ball - Lumen Green
appliedenergistics2:paint_ball:34, Paint Ball - Lumen Red
appliedenergistics2:paint_ball:35, Paint Ball - Lumen Black
appliedenergistics2:dummy_fluid_item, item.appliedenergistics2.dummy_fluid_item.name
appliedenergistics2:material:28, Advanced Card
appliedenergistics2:material:44, Annihilation Core
appliedenergistics2:material:25, Basic Card
appliedenergistics2:material:52, Blank Pattern
appliedenergistics2:material:23, Calculation Processor
appliedenergistics2:material:13, Inscriber Calculation Press
appliedenergistics2:material:16, Printed Calculation Circuit
appliedenergistics2:material:27, Capacity Card
appliedenergistics2:material:53, Crafting Card
appliedenergistics2:material:29, Fuzzy Card
appliedenergistics2:material:31, Inverter Card
appliedenergistics2:material:60, Magnet Card
appliedenergistics2:material:58, Pattern Expansion Card
appliedenergistics2:material:59, Quantum Link Card
appliedenergistics2:material:26, Redstone Card
appliedenergistics2:material:30, Acceleration Card
appliedenergistics2:material:37, §a16k§r ME Storage Component
appliedenergistics2:material:35, §61k§r ME Storage Component
appliedenergistics2:material:36, §e4k§r ME Storage Component
appliedenergistics2:material:38, §b64k§r ME Storage Component
appliedenergistics2:material:0, Certus Quartz Crystal
appliedenergistics2:material:1, Charged Certus Quartz Crystal
appliedenergistics2:material:2, Certus Quartz Dust
appliedenergistics2:material:39, ME Storage Housing
appliedenergistics2:material:46, Ender Dust
appliedenergistics2:material:24, Engineering Processor
appliedenergistics2:material:14, Inscriber Engineering Press
appliedenergistics2:material:17, Printed Engineering Circuit
appliedenergistics2:material:56, §a16k§r ME Fluid Storage Component
appliedenergistics2:material:54, §61k§r ME Fluid Storage Component
appliedenergistics2:material:55, §e4k§r ME Fluid Storage Component
appliedenergistics2:material:57, §b64k§r ME Fluid Storage Component
appliedenergistics2:material:7, Fluix Crystal
appliedenergistics2:material:8, Fluix Dust
appliedenergistics2:material:9, Fluix Pearl
appliedenergistics2:material:43, Formation Core
appliedenergistics2:material:51, Gold Dust
appliedenergistics2:material:49, Iron Dust
appliedenergistics2:material:22, Logic Processor
appliedenergistics2:material:15, Inscriber Logic Press
appliedenergistics2:material:18, Printed Logic Circuit
appliedenergistics2:material:6, Matter Ball
appliedenergistics2:material:21, Inscriber Name Press
appliedenergistics2:material:3, Nether Quartz Dust
appliedenergistics2:material:48, Quantum Entangled Singularity
appliedenergistics2:material:5, Silicon
appliedenergistics2:material:19, Inscriber Silicon Press
appliedenergistics2:material:20, Printed Silicon
appliedenergistics2:material:47, Singularity
appliedenergistics2:material:45, Sky Stone Dust
appliedenergistics2:material:41, Wireless Receiver
appliedenergistics2:material:42, Wireless Booster
appliedenergistics2:part:300, ME Annihilation Plane
appliedenergistics2:part:120, Cable Anchor
appliedenergistics2:part:20, ME Covered Cable - White
appliedenergistics2:part:21, ME Covered Cable - Orange
appliedenergistics2:part:22, ME Covered Cable - Magenta
appliedenergistics2:part:23, ME Covered Cable - Light Blue
appliedenergistics2:part:24, ME Covered Cable - Yellow
appliedenergistics2:part:25, ME Covered Cable - Lime
appliedenergistics2:part:26, ME Covered Cable - Pink
appliedenergistics2:part:27, ME Covered Cable - Gray
appliedenergistics2:part:28, ME Covered Cable - Light Gray
appliedenergistics2:part:29, ME Covered Cable - Cyan
appliedenergistics2:part:30, ME Covered Cable - Purple
appliedenergistics2:part:31, ME Covered Cable - Blue
appliedenergistics2:part:32, ME Covered Cable - Brown
appliedenergistics2:part:33, ME Covered Cable - Green
appliedenergistics2:part:34, ME Covered Cable - Red
appliedenergistics2:part:35, ME Covered Cable - Black
appliedenergistics2:part:36, ME Covered Cable - Fluix
appliedenergistics2:part:500, ME Dense Covered Cable - White
appliedenergistics2:part:501, ME Dense Covered Cable - Orange
appliedenergistics2:part:502, ME Dense Covered Cable - Magenta
appliedenergistics2:part:503, ME Dense Covered Cable - Light Blue
appliedenergistics2:part:504, ME Dense Covered Cable - Yellow
appliedenergistics2:part:505, ME Dense Covered Cable - Lime
appliedenergistics2:part:506, ME Dense Covered Cable - Pink
appliedenergistics2:part:507, ME Dense Covered Cable - Gray
appliedenergistics2:part:508, ME Dense Covered Cable - Light Gray
appliedenergistics2:part:509, ME Dense Covered Cable - Cyan
appliedenergistics2:part:510, ME Dense Covered Cable - Purple
appliedenergistics2:part:511, ME Dense Covered Cable - Blue
appliedenergistics2:part:512, ME Dense Covered Cable - Brown
appliedenergistics2:part:513, ME Dense Covered Cable - Green
appliedenergistics2:part:514, ME Dense Covered Cable - Red
appliedenergistics2:part:515, ME Dense Covered Cable - Black
appliedenergistics2:part:516, ME Dense Covered Cable - Fluix
appliedenergistics2:part:60, ME Dense Smart Cable - White
appliedenergistics2:part:61, ME Dense Smart Cable - Orange
appliedenergistics2:part:62, ME Dense Smart Cable - Magenta
appliedenergistics2:part:63, ME Dense Smart Cable - Light Blue
appliedenergistics2:part:64, ME Dense Smart Cable - Yellow
appliedenergistics2:part:65, ME Dense Smart Cable - Lime
appliedenergistics2:part:66, ME Dense Smart Cable - Pink
appliedenergistics2:part:67, ME Dense Smart Cable - Gray
appliedenergistics2:part:68, ME Dense Smart Cable - Light Gray
appliedenergistics2:part:69, ME Dense Smart Cable - Cyan
appliedenergistics2:part:70, ME Dense Smart Cable - Purple
appliedenergistics2:part:71, ME Dense Smart Cable - Blue
appliedenergistics2:part:72, ME Dense Smart Cable - Brown
appliedenergistics2:part:73, ME Dense Smart Cable - Green
appliedenergistics2:part:74, ME Dense Smart Cable - Red
appliedenergistics2:part:75, ME Dense Smart Cable - Black
appliedenergistics2:part:76, ME Dense Smart Cable - Fluix
